Package,City,Place Tourism1,Place Tourism2,Place Tourism3,Place Tourism4,Place Tourism5,Place Tourism6,Place Tourism7,Place Tourism8
869,Bandung,Taman Kupu-Kupu Cihanjuang, Panama Park 825,Teras Cikapundung BBWS,Teras Cikapundung BBWS,Taman Lansia,Teras Cikapundung BBWS,Taman Lansia,Taman Lansia
870,Semarang,Semarang Gallery,Taman Tabanas,Kampoeng Djadhoel Semarang,Wisata Lereng Kelir,GPIB Immanuel Semarang (Gereja Blenduk),Wisata Lereng Kelir,GPIB Immanuel Semarang (Gereja Blenduk),GPIB Immanuel Semarang (Gereja Blenduk)
871,Semarang,Kampung Batik Gedong Semarang,Brown Canyon,Semarang Contemporary Art Gallery,,,,,
872,Semarang,Pantai Baruna,Air Terjun Semirang,Pantai Cipta,,,,,
873,Bandung,Taman Begonia,Taman Vanda,Kyotoku Floating Market,Gua Pawon,Kebun Binatang Bandung,Gua Pawon,Kebun Binatang Bandung,Kebun Binatang Bandung
874,Semarang,Saloka Theme Park,Pantai Cipta,Grand Maerakaca,Taman Kasmaran,Pantai Baruna,Taman Kasmaran,Pantai Baruna,Pantai Baruna
875,Bandung,Taman Sejarah Bandung,Museum Gedung Sate,Gua Pawon,,,,,
876,Jakarta,Pulau Tidung,Tugu Proklamasi,Pasar Taman Puring,Pasar Tanah Abang,,Pasar Tanah Abang,,
877,Semarang,Semarang Gallery,Obyek Wisata Goa Kreo,Lawang Sewu,Pantai Marina,Kampung Pelangi,Pantai Marina,Kampung Pelangi,Kampung Pelangi
878,Yogyakarta,The World Landmarks - Merapi Park Yogyakarta,Tebing Breksi,Kawasan Malioboro,,,,,
879,Bandung,Taman Lansia,Kampung Korea Bandung,Kampung Korea Bandung,Gunung Tangkuban Perahu,Monumen Bandung Lautan Api,Gunung Tangkuban Perahu,Monumen Bandung Lautan Api,Monumen Bandung Lautan Api
880,Bandung,Sudut Pandang Bandung,Curug Bugbrug,Water Park Bandung Indah,Gunung Papandayan,Curug Anom,Gunung Papandayan,Curug Anom,Curug Anom
881,Semarang, Pantai Cipta,Pantai Baruna,Water Blaster Bukit Candi Golf,Tirto Argo Siwarak,Masjid Agung Ungaran,Tirto Argo Siwarak,Masjid Agung Ungaran,Masjid Agung Ungaran
882,Semarang,Water Blaster Bukit Candi Golf,Masjid Agung Ungaran,Pantai Baruna,,,,,
883,Yogyakarta,Kawasan Malioboro,Pantai Nguluran,Lava Bantal,The Lost World Castle,,The Lost World Castle,,
884,Surabaya,Patung Sura dan Buaya,Kampoeng Rawa,Keraton Surabaya,Surabaya Museum (Gedung Siola),Food Junction Grand Pakuwon,Surabaya Museum (Gedung Siola),Food Junction Grand Pakuwon,Food Junction Grand Pakuwon
885,Bandung,Sudut Pandang Bandung,Trans Studio Bandung,NuArt Sculpture Park,Dago Dreampark,Curug Bugbrug,Dago Dreampark,Curug Bugbrug,Curug Bugbrug
886,Bandung,Masjid Al-Imtizaj,Panghegar Waterboom Bandung,Trans Studio Bandung,Gunung Tangkuban Perahu,Taman Hutan Raya Ir. H. Djuanda,Gunung Tangkuban Perahu,Taman Hutan Raya Ir. H. Djuanda,Taman Hutan Raya Ir. H. Djuanda
887,Semarang,Old City 3D Trick Art Museum,Kampoeng Djadhoel Semarang,Candi Gedong Songo,Monumen Palagan Ambarawa,Waduk Jatibarang,Monumen Palagan Ambarawa,Waduk Jatibarang,Waduk Jatibarang
888,Semarang,Wisata Alam Wana Wisata Penggaron,Monumen Palagan Ambarawa,Benteng Pendem,,,,,
889,Yogyakarta,Candi Prambanan,Kawasan Wisata Sosrowijayan,Pantai Nguluran,,,,,
890,Yogyakarta,Watu Mabur Mangunan,Seribu Batu Songgo Langit,Pantai Nglambor,,,,,
891,Surabaya,Museum Kesehatan Dr. Adhyatma,Taman Buah Surabaya,Museum Sepuluh Nopember Kota Surabaya,Patung Buddha Empat Rupa,,Patung Buddha Empat Rupa,,
892,Semarang,Kota Lama Semarang,Wisata Eling Bening,Monumen Palagan Ambarawa,Grand Maerakaca,Waduk Jatibarang,Grand Maerakaca,Waduk Jatibarang,Waduk Jatibarang
893,Yogyakarta,De Mata Museum Jogja,Desa Wisata Sungai Code Jogja Kota,The World Landmarks - Merapi Park Yogyakarta,,,,,
894,Semarang,Indonesia Kaya Park,Umbul Sidomukti,Durian Gardens and Tourism Education Watu Simbar,Waduk Jatibarang,Brown Canyon,Waduk Jatibarang,Brown Canyon,Pulau Pramuka
895,Jakarta,Museum Perangko,Pasar Petak Sembilan,Taman Ayodya,Kota Tua,,Kota Tua,,
896,Yogyakarta,Watu Lumbung,Bukit Wisata Pulepayung,Pantai Jogan,,,,,
897,Semarang,Lawang Sewu,Pantai Cipta,Umbul Sidomukti,Old City 3D Trick Art Museum,Gua Maria Kerep Ambarawa,Old City 3D Trick Art Museum,Gua Maria Kerep Ambarawa,Gua Maria Kerep Ambarawa
898,Surabaya,Masjid Muhammad Cheng Hoo,Ciputra Waterpark,Taman Barunawati,House of Sampoerna,,House of Sampoerna,,
899,Bandung,Water Park Bandung Indah,Kawasan Punclut,Lembang Park & Zoo,Museum Konferensi Asia Afrika,,Museum Konferensi Asia Afrika,,
900,Yogyakarta,Jurang Tembelan Kanigoro,Puncak Segoro,Watu Lumbung,Bukit Lintang Sewu,Pantai Sundak,Bukit Lintang Sewu,Pantai Sundak,Pantai Sundak
901,Bandung,Curug Malela,Sudut Pandang Bandung,Taman Hutan Raya Ir. H. Djuanda,Taman Film,Masjid Al-Imtizaj,Taman Film,Masjid Al-Imtizaj,Masjid Al-Imtizaj
902,Surabaya,Monumen Tugu Pahlawan,Monumen Bambu Runcing Surabaya,Museum De Javasche Bank,Taman Barunawati,,Taman Barunawati,,
903,Bandung,Roemah Seni Sarasvati,Curug Malela,Kebun Binatang Bandung,Lawangwangi Creative Space,Taman Vanda,,Taman Vanda,Taman Vanda
904,Bandung,Tafso Barn,Gunung Papandayan,Taman Begonia,Taman Hutan Raya Ir. H. Djuanda,Trans Studio Bandung,Taman Hutan Raya Ir. H. Djuanda,Trans Studio Bandung,Trans Studio Bandung
905,Surabaya,Museum Kesehatan Dr. Adhyatma,Hutan Pinus Kayon,Taman Hiburan Rakyat,Taman Pelangi,,Taman Pelangi,,
906,Surabaya,Jembatan Merah,Kenjeran Park,Taman Harmoni Keputih,Taman Barunawati,,Taman Barunawati,,
907,Yogyakarta,Desa Wisata Pulesari,Watu Mabur Mangunan,Goa Pindul,,,,,
908,Bandung,Curug Tilu Leuwi Opat,Kawasan Punclut,Panghegar Waterboom Bandung,,,,,
909,Surabaya,Kenjeran Park,Air Mancur Menari,Keraton Surabaya,Taman Pelangi,,Taman Pelangi,,
910,Yogyakarta,Wisata Kaliurang,Bukit Wisata Pulepayung,Pantai Nglambor,Hutan Pinus Asri,Watu Goyang,Hutan Pinus Asri,Watu Goyang,Watu Goyang
911,Jakarta,Grand Indonesia Mall,Taman Cattleya,Museum Wayang,Ocean Ecopark,,Ocean Ecopark,,
912,Yogyakarta,Pantai Ngrenehan,Bunker Kaliadem Merapi,Puncak Gunung Api Purba - Nglanggeran,,,,,
913,Surabaya,Klenteng Sanggar Agung,Hutan Pinus Kayon,Taman Mundu,Taman Barunawati,,Taman Barunawati,,
914,Bandung,Kebun Binatang Bandung,Curug Batu Templek,Rainbow Garden,Gunung Papandayan,Situ Patenggang,Gunung Papandayan,Situ Patenggang,Situ Patenggang
915,Bandung,Masjid Al-Imtizaj,Curug Anom,Kebun Tanaman Obat Sari Alam,,,,,
916,Surabaya,Patung Sura dan Buaya,Monumen Jalesveva Jayamahe,Taman Buah Surabaya,Taman Flora Bratang Surabaya,,Taman Flora Bratang Surabaya,,
917,Surabaya,Museum TNI AL Loka Jala Crana,Museum De Javasche Bank,Klenteng Sanggar Agung,,,,,
918,Surabaya,Gereja Perawan Maria Tak Berdosa Surabaya,Museum Kesehatan Dr. Adhyatma,Hutan Bambu Keputih,,,,,
919,Yogyakarta,Pantai Sundak,Gembira Loka Zoo,Puncak Kebun Buah Mangunan,,,,,
920,Jakarta,Pasar Tanah Abang,Masjid Istiqlal,Museum Macan (Modern and Contemporary Art in Nusantara),Pasar Tanah Abang,,Pasar Tanah Abang,,
921,Jakarta,Plaza Indonesia,Pulau Tidung,Museum Perangko,Taman Ayodya,,Taman Ayodya,,
922,Semarang,Pantai Baruna,Wisata Eling Bening,Wisata Alam Wana Wisata Penggaron,Masjid Agung Ungaran,Jembatan Biru Ambarawa,Masjid Agung Ungaran,Jembatan Biru Ambarawa,Jembatan Biru Ambarawa
923,Surabaya,Museum Kesehatan Dr. Adhyatma,Museum Sepuluh Nopember Kota Surabaya,Taman Flora Bratang Surabaya,Taman Buah Surabaya,Taman Hiburan Rakyat,Taman Buah Surabaya,Taman Hiburan Rakyat,Taman Hiburan Rakyat
924,Jakarta,Taman Cattleya,Mall Thamrin City,Museum Perangko,Taman Agrowisata Cilangkap,,Taman Agrowisata Cilangkap,,
925,Yogyakarta,Seribu Batu Songgo Langit,Kauman Pakualaman Yogyakarta,Hutan Pinus Asri,,,,,
926,Yogyakarta,Pantai Nguluran,Kawasan Wisata Sosrowijayan,Taman Situ Lembang,Watu Mabur Mangunan,,Watu Mabur Mangunan,,
927,Bandung,Museum Konferensi Asia Afrika,Monumen Bandung Lautan Api,Masjid Pusdai,Masjid Raya Bandung,Kawah Putih,Masjid Raya Bandung,Kawah Putih,Kawah Putih
928,Semarang,Gua Maria Kerep Ambarawa,Masjid Agung Ungaran,Wisata Lereng Kelir,Hutan Wisata Tinjomoyo Semarang,Semarang Chinatown,Hutan Wisata Tinjomoyo Semarang,Semarang Chinatown,Semarang Chinatown
929,Yogyakarta,Watu Mabur Mangunan,Kawasan Malioboro,Tugu Pal Putih Jogja,Geoforest Watu Payung Turunan,,Geoforest Watu Payung Turunan,,
930,Yogyakarta,Lava Bantal,Pantai Depok Jogja,Hutan Pinus Asri,,,,,
931,Bandung,Taman Hutan Raya Ir. H. Djuanda,Taman Lansia,Orchid Forest Cikole,Lembang Park & Zoo,Gunung Manglayang,Lembang Park & Zoo,Gunung Manglayang,Gunung Manglayang
932,Bandung,Kota Mini,Sudut Pandang Bandung,Saung Angklung Mang Udjo, Panama Park 825,Rainbow Garden, Panama Park 825,Rainbow Garden,Rainbow Garden
933,Bandung,Kyotoku Floating Market,Taman Lansia,Panghegar Waterboom Bandung,Roemah Seni Sarasvati,Gunung Manglayang,Roemah Seni Sarasvati,Gunung Manglayang,Gunung Manglayang
934,Surabaya,Museum Sepuluh Nopember Kota Surabaya,Hutan Pinus Kayon,Kampoeng Rawa,Balai Kota Surabaya,,Balai Kota Surabaya,,
935,Bandung,Pesona Nirwana Waterpark & Cottages,Orchid Forest Cikole,Curug Bugbrug,Kampung Korea Bandung,,Kampung Korea Bandung,,
936,Yogyakarta,Sindu Kusuma Edupark (SKE),Bukit Wisata Pulepayung,Pantai Wediombo,,,,,
937,Yogyakarta,Taman Pelangi Jogja,Pantai Patihan,Pantai Patihan,,,,,
938,Surabaya,Monumen Tugu Pahlawan,Taman Flora Bratang Surabaya,Taman Mundu,Kampoeng Rawa,Surabaya Museum (Gedung Siola),Kampoeng Rawa,Surabaya Museum (Gedung Siola),Surabaya Museum (Gedung Siola)
939,Jakarta,Hutan Kota Srengseng,Museum Tekstil,Pulau Tidung,Pulau Tidung,,Pulau Tidung,,
940,Bandung,Museum Konferensi Asia Afrika,Water Park Bandung Indah,Kota Mini,Taman Budaya Jawa Barat,Curug Aseupan,Taman Budaya Jawa Barat,Curug Aseupan,Curug Aseupan
941,Yogyakarta,Nol Kilometer Jl.Malioboro,Bukit Lintang Sewu,Pantai Ngrenehan,,,,,
942,Jakarta,Museum Basoeki Abdullah,Museum Bank Indonesia,Pulau Tidung,Plaza Indonesia,,Plaza Indonesia,,
943,Semarang,Brown Canyon,Pantai Marina,Museum Kereta Ambarawa,Masjid Agung Ungaran,,Masjid Agung Ungaran,,
944,Jakarta,Wisata Agro Edukatif Istana Susu Cibugary,Wisata Agro Edukatif Istana Susu Cibugary,Tugu Proklamasi,Pasar Seni,,Pasar Seni,,
945,Bandung,Masjid Pusdai,Caringin Tilu,Teras Cikapundung BBWS,Museum Gedung Sate,Kebun Binatang Bandung,Museum Gedung Sate,Kebun Binatang Bandung,Kebun Binatang Bandung
946,Surabaya,Monumen Bambu Runcing Surabaya,Taman Keputran,Jembatan Merah,Patung Sura dan Buaya,,Patung Sura dan Buaya,,
947,Jakarta,Monas,Plaza Indonesia,Galeri Nasional Indonesia,Museum Layang-layang,,Museum Layang-layang,,
948,Bandung,Kebun Binatang Bandung,Monumen Bandung Lautan Api,Sudut Pandang Bandung,Museum Nike Ardilla,Kampung Korea Bandung,Museum Nike Ardilla,Kampung Korea Bandung,Kampung Korea Bandung
949,Bandung,Kawah Putih,Pesona Nirwana Waterpark & Cottages,Museum Sri Baduga,Glamping Lakeside Rancabali,| Peta Park,Glamping Lakeside Rancabali,| Peta Park,| Peta Park
950,Jakarta,Taman Menteng,Gereja Katedral,Jembatan Kota Intan,Pasar Seni,,Pasar Seni,,
951,Surabaya,Surabaya Museum (Gedung Siola),Gereja Perawan Maria Tak Berdosa Surabaya,Museum Mpu Tantular,Ciputra Waterpark,Museum De Javasche Bank,Ciputra Waterpark,Museum De Javasche Bank,Museum De Javasche Bank
952,Semarang,Taman Srigunting,Old City 3D Trick Art Museum,Flower Farm Setiya Aji,Tugu Muda Semarang,Tirto Argo Siwarak,,Tirto Argo Siwarak,Tirto Argo Siwarak
953,Jakarta,Pasar Taman Puring,Jakarta Aquarium dan Safari,Pasar Petak Sembilan,Museum Satria Mandala,,Museum Satria Mandala,,
954,Semarang,Wisata Eling Bening,La Kana Chapel,Taman Tabanas,,,,,
955,Bandung,Taman Lansia,Kiara Artha Park,Panghegar Waterboom Bandung,Masjid Raya Bandung,Tafso Barn,Masjid Raya Bandung,Tafso Barn,Tafso Barn
956,Jakarta,Bumi Perkemahan Cibubur,Hutan Kota Srengseng,Tugu Proklamasi,Jembatan Kota Intan,Museum Fatahillah,Jembatan Kota Intan,Museum Fatahillah,Museum Fatahillah
957,Semarang,Taman Tabanas, Pantai Cipta,Pantai Baruna,Watu Gunung Ungaran,Watu Gunung Ungaran,Watu Gunung Ungaran,Watu Gunung Ungaran,Watu Gunung Ungaran
958,Jakarta,Hutan Kota Srengseng,Klenteng Jin De Yuan,Museum Basoeki Abdullah,Taman Ayodya,,Taman Ayodya,,
959,Bandung,Taman Film,Masjid Raya Bandung,Masjid Pusdai,Alun-Alun Kota Bandung,Ade Irma Suryani Nasution Traffic Park,Alun-Alun Kota Bandung,Ade Irma Suryani Nasution Traffic Park,Ade Irma Suryani Nasution Traffic Park
960,Semarang,Kampoeng Djadhoel Semarang,Taman Tabanas,Umbul Sidomukti,Gua Maria Kerep Ambarawa,Candi Gedong Songo,Gua Maria Kerep Ambarawa,Candi Gedong Songo,Candi Gedong Songo
961,Semarang,Taman Srigunting,Wisata Eling Bening,Taman Pandanaran,,,,,
962,Surabaya,Air Mancur Menari,Masjid Kapal Semarang,Taman Hiburan Rakyat,Masjid Muhammad Cheng Hoo,,Masjid Muhammad Cheng Hoo,,
963,Jakarta,Taman Ayodya,Museum Tekstil,Museum Layang-layang,Pasar Taman Puring,,Pasar Taman Puring,,
964,Surabaya,Balai Kota Surabaya,Monumen Tugu Pahlawan,Taman Hiburan Rakyat,Klenteng Sanggar Agung,Hutan Pinus Kayon,Klenteng Sanggar Agung,Hutan Pinus Kayon,Hutan Pinus Kayon
965,Bandung,Roemah Seni Sarasvati,Taman Hutan Raya Ir. H. Djuanda,Museum Sri Baduga,Situ Patenggang,Water Park Bandung Indah,Situ Patenggang,Water Park Bandung Indah,Water Park Bandung Indah
966,Bandung,Panghegar Waterboom Bandung,Taman Miniatur Kereta Api,Tebing Karaton,Situ Patenggang,Taman Kupu-Kupu Cihanjuang,Situ Patenggang,Taman Kupu-Kupu Cihanjuang,Taman Kupu-Kupu Cihanjuang
967,Surabaya,Jembatan Merah,Kampoeng Rawa,Kebun Bibit Wonorejo,Patung Sura dan Buaya,,Patung Sura dan Buaya,,
968,Surabaya,Kebun Bibit Wonorejo,Klenteng Sanggar Agung,Taman Barunawati,Taman Hiburan Rakyat,,Taman Hiburan Rakyat,,
969,Surabaya,Ekowisata Mangrove Wonorejo,Monumen Jalesveva Jayamahe,Waterpark Kenjeran Surabaya,Taman Mundu,,Taman Mundu,,
970,Surabaya,Taman Prestasi,Waterpark Kenjeran Surabaya,Taman Bungkul,Masjid Kapal Semarang,Kenjeran Park,Masjid Kapal Semarang,Kenjeran Park,Kenjeran Park
971,Bandung,Taman Miniatur Kereta Api,NuArt Sculpture Park,Taman Film,Ade Irma Suryani Nasution Traffic Park,Orchid Forest Cikole,Ade Irma Suryani Nasution Traffic Park,Orchid Forest Cikole,Orchid Forest Cikole
972,Yogyakarta,Tugu Pal Putih Jogja,Sindu Kusuma Edupark (SKE),Alun-alun Utara Keraton Yogyakarta,Bukit Wisata Pulepayung,,Bukit Wisata Pulepayung,,
973,Bandung,Trans Studio Bandung,| Peta Park,Water Park Bandung Indah,Mountain View Golf Club,Taman Kupu-Kupu Cihanjuang,Mountain View Golf Club,Taman Kupu-Kupu Cihanjuang,Taman Kupu-Kupu Cihanjuang
974,Surabaya,Taman Kunang-Kunang,Air Mancur Menari,Gereja Perawan Maria Tak Berdosa Surabaya,,,,,
975,Yogyakarta,Galaxy Waterpark Jogja,Pantai Patihan,Pantai Indrayanti,,,,,
976,Semarang,Taman Tabanas,Umbul Sidomukti,Pantai Baruna,Durian Gardens and Tourism Education Watu Simbar,Masjid Agung Ungaran,Durian Gardens and Tourism Education Watu Simbar,Masjid Agung Ungaran,Masjid Agung Ungaran
977,Jakarta,Taman Cattleya,SnowBay Waterpark,Taman Impian Jaya Ancol,Pulau Pelangi,,Pulau Pelangi,,
978,Semarang,La Kana Chapel,Obyek Wisata Goa Kreo,Indonesia Kaya Park,Lawang Sewu,Lawang Sewu,Lawang Sewu,Lawang Sewu,Lawang Sewu
979,Surabaya,Taman Harmoni Keputih,Pantai Ria Kenjeran,Patung Sura dan Buaya,Keraton Surabaya,,Keraton Surabaya,,
980,Yogyakarta,Pantai Sundak,Pantai Nguluran,Embung Tambakboyo,,,,,
981,Semarang,Taman Tabanas,Indonesia Kaya Park,Sam Poo Kong Temple,Candi Gedong Songo,Old City 3D Trick Art Museum,Candi Gedong Songo,Old City 3D Trick Art Museum,Old City 3D Trick Art Museum
982,Yogyakarta,Puncak Kebun Buah Mangunan,Pantai Samas,Puncak Segoro,,,,,
983,Surabaya,Museum TNI AL Loka Jala Crana,Surabaya North Quay,Waterpark Kenjeran Surabaya,Monumen Tugu Pahlawan,,Monumen Tugu Pahlawan,,
984,Semarang,Pantai Baruna,GPIB Immanuel Semarang (Gereja Blenduk),Kampung Pelangi,Indonesia Kaya Park,Desa Wisata Lembah Kalipancur,Indonesia Kaya Park,Desa Wisata Lembah Kalipancur,Desa Wisata Lembah Kalipancur
985,Surabaya,Taman Hiburan Rakyat,Taman Flora Bratang Surabaya,Taman Buah Surabaya,Monumen Jalesveva Jayamahe,,Monumen Jalesveva Jayamahe,,
986,Bandung,Taman Begonia,Kebun Binatang Bandung,Taman Begonia,Taman Vanda,Monumen Perjuangan Rakyat Jawa Barat,Taman Vanda,Monumen Perjuangan Rakyat Jawa Barat,Monumen Perjuangan Rakyat Jawa Barat
987,Yogyakarta,Kebun Teh Nglinggo,Lava Bantal,Sindu Kusuma Edupark (SKE),,,,,
988,Semarang,Waduk Jatibarang,Semarang Gallery,Water Blaster Bukit Candi Golf,Tugu Muda Semarang,Tirto Argo Siwarak,,Tirto Argo Siwarak,Tirto Argo Siwarak
989,Jakarta,Pasar Tanah Abang,Pulau Tidung,Museum Macan (Modern and Contemporary Art in Nusantara),Galeri Nasional Indonesia,Klenteng Jin De Yuan,Galeri Nasional Indonesia,Klenteng Jin De Yuan,Klenteng Jin De Yuan
990,Semarang,Hutan Wisata Tinjomoyo Semarang,Taman Srigunting,Pura Giri Natha,Saloka Theme Park,Lawang Sewu,Saloka Theme Park,Lawang Sewu,Lawang Sewu
991,Yogyakarta,Pantai Drini,Bukit Lintang Sewu,De Mata Museum Jogja,,,,,
992,Yogyakarta,Pantai Nguluran,Pantai Ngrenehan,Pintoe Langit Dahromo,,,,,
993,Bandung,Bukit Jamur,Curug Bugbrug,Pesona Nirwana Waterpark & Cottages,Gereja Katedral Santo Petrus Bandung,Curug Aseupan,Gereja Katedral Santo Petrus Bandung,Curug Aseupan,Curug Aseupan
994,Semarang,Taman Pandanaran,Brown Canyon,Candi Gedong Songo,Water Blaster Bukit Candi Golf,Pura Giri Natha,Water Blaster Bukit Candi Golf,Pura Giri Natha,Pura Giri Natha
995,Yogyakarta,Pantai Wediombo,Bunker Kaliadem Merapi,Pantai Drini,,,,,
996,Jakarta,Museum Taman Prasasti,Grand Indonesia Mall,Museum Sumpah Pemuda,Klenteng Jin De Yuan,,Klenteng Jin De Yuan,,
997,Surabaya,Kebun Binatang Surabaya,Kebun Binatang Surabaya,Balai Kota Surabaya,Museum Kesehatan Dr. Adhyatma,Hutan Pinus Kayon,Museum Kesehatan Dr. Adhyatma,Hutan Pinus Kayon,Hutan Pinus Kayon
998,Jakarta,Monas,Grand Indonesia Mall,Museum Taman Prasasti,Pulau Tidung,,Pulau Tidung,,
999,Yogyakarta,Pantai Jogan,Tebing Breksi,Bentara Budaya Yogyakarta (BBY),,,,,
1000,Bandung,Taman Balai Kota Bandung,Caringin Tilu,Masjid Raya Bandung,Kyotoku Floating Market,Kebun Tanaman Obat Sari Alam,Kyotoku Floating Market,Kebun Tanaman Obat Sari Alam,Kebun Tanaman Obat Sari Alam
1001,Jakarta,Museum Wayang,Taman Ayodya,Wisata Kuliner Pecenongan,Perpustakaan Nasional,,Perpustakaan Nasional,,
1002,Semarang,Wisata Eling Bening,Semarang Chinatown,Jembatan Biru Ambarawa,,,,,
1003,Semarang,Masjid Agung Ungaran,Benteng Pendem,Semarang Contemporary Art Gallery,Taman Srigunting,Grand Maerakaca,Taman Srigunting,,
1004,Surabaya,Monumen Jalesveva Jayamahe,Monumen Jalesveva Jayamahe,Pantai Ria Kenjeran,Ciputra Waterpark,,Ciputra Waterpark,,
1005,Jakarta,Museum Nasional,Bumi Perkemahan Cibubur,Taman Cattleya,Waterboom PIK (Pantai Indah Kapuk),,Waterboom PIK (Pantai Indah Kapuk),,
1006,Bandung,Museum Mandala Wangsit Siliwangi,Mountain View Golf Club,Taman Begonia,Taman Begonia,Orchid Forest Cikole,Taman Begonia,Orchid Forest Cikole,Orchid Forest Cikole
1007,Jakarta,Taman Menteng,Grand Indonesia Mall,Museum Sumpah Pemuda,Waterboom PIK (Pantai Indah Kapuk),,Waterboom PIK (Pantai Indah Kapuk),,
1008,Semarang,Tugu Muda Semarang,Tirto Argo Siwarak,Wisata Alam Wana Wisata Penggaron,Wisata Eling Bening,Watu Gunung Ungaran,Wisata Eling Bening,Watu Gunung Ungaran,Watu Gunung Ungaran
1009,Surabaya,Kampoeng Rawa,Taman Bungkul,Taman Keputran,,,,,
1010,Yogyakarta,Bukit Paralayang,,,,,,,
1011,Bandung,Museum Sri Baduga,Museum Geologi Bandung,Tebing Karaton,Tebing Karaton,Taman Miniatur Kereta Api,Tebing Karaton,Taman Miniatur Kereta Api,Taman Miniatur Kereta Api
1012,Bandung,Bukit Jamur,Chingu Cafe Little Seoul,Gunung Tangkuban Perahu,Museum Pendidikan Nasional,Tebing Karaton,Museum Pendidikan Nasional,Tebing Karaton,Tebing Karaton
1013,Bandung,Jendela Alam,Museum Gedung Sate,Taman Begonia,Taman Hutan Raya Ir. H. Djuanda,Monumen Perjuangan Rakyat Jawa Barat,Taman Hutan Raya Ir. H. Djuanda,Monumen Perjuangan Rakyat Jawa Barat,Monumen Perjuangan Rakyat Jawa Barat
1014,Semarang,Benteng Pendem,Kampung Batik Gedong Semarang,Masjid Agung Ungaran,Pura Giri Natha,Wisata Mangrove Tapak,Pura Giri Natha,Wisata Mangrove Tapak,Wisata Mangrove Tapak
1015,Surabaya,House of Sampoerna,Kebun Bibit Wonorejo,Monumen Jalesveva Jayamahe,Masjid Nasional Al-Akbar,,Masjid Nasional Al-Akbar,,
1016,Jakarta,Taman Mini Indonesia Indah (TMII),Museum Sumpah Pemuda,Pasar Seni,Taman Mini Indonesia Indah (TMII),,Taman Mini Indonesia Indah (TMII),,
1017,Semarang,Masjid Agung Ungaran,Candi Gedong Songo,Jembatan Biru Ambarawa,Old City 3D Trick Art Museum,Wisata Mangrove Tapak,Old City 3D Trick Art Museum,Wisata Mangrove Tapak,Wisata Mangrove Tapak
1018,Surabaya,Taman Prestasi,Masjid Kapal Semarang,Gereja Perawan Maria Tak Berdosa Surabaya,Air Mancur Menari,,Air Mancur Menari,,
1019,Yogyakarta,Bentara Budaya Yogyakarta (BBY),Green Village Gedangsari,Candi Borobudur,,,,,
1020,Semarang,Monumen Palagan Ambarawa,Masjid Agung Ungaran,Wisata Lereng Kelir,Semarang Contemporary Art Gallery,Air Terjun Semirang,Semarang Contemporary Art Gallery,Air Terjun Semirang,Air Terjun Semirang
1021,Surabaya,Taman Barunawati,Jembatan Merah,Masjid Kapal Semarang,Food Junction Grand Pakuwon,,Food Junction Grand Pakuwon,,
1022,Yogyakarta,Kauman Pakualaman Yogyakarta,Monumen Serangan Umum 1 Maret,Bentara Budaya Yogyakarta (BBY),,,,,
1023,Bandung,Masjid Al-Imtizaj,Kebun Tanaman Obat Sari Alam,Masjid Raya Bandung,Taman Miniatur Kereta Api,Saung Angklung Mang Udjo,Taman Miniatur Kereta Api,Saung Angklung Mang Udjo,Saung Angklung Mang Udjo
1024,Yogyakarta,Pantai Glagah,Puncak Gunung Api Purba - Nglanggeran,Desa Wisata Pulesari,Pantai Krakal,,Pantai Krakal,,
1025,Jakarta,Taman Mini Indonesia Indah (TMII),Museum Taman Prasasti,Museum Fatahillah,Museum Tekstil,,Museum Tekstil,,
1026,Yogyakarta,Hutan Pinus Pengger,Pantai Parangtritis,Wisata Kalibiru,Pintoe Langit Dahromo,Geoforest Watu Payung Turunan,Pintoe Langit Dahromo,Geoforest Watu Payung Turunan,Geoforest Watu Payung Turunan
1027,Bandung,Kota Mini,Kawasan Punclut,Taman Lansia, Panama Park 825,Gunung Tangkuban Perahu, Panama Park 825,Gunung Tangkuban Perahu,Gunung Tangkuban Perahu
1028,Semarang,Old City 3D Trick Art Museum,Museum Kereta Ambarawa,Kampoeng Kopi Banaran,Benteng Pendem,Candi Gedong Songo,Benteng Pendem,Candi Gedong Songo,Candi Gedong Songo
1029,Semarang,Pantai Baruna,Waduk Jatibarang,Kampung Batik Gedong Semarang,Obyek Wisata Goa Kreo,Kota Lama Semarang,Obyek Wisata Goa Kreo,Kota Lama Semarang,Kota Lama Semarang
1030,Surabaya,Surabaya North Quay,Masjid Nasional Al-Akbar,Waterpark Kenjeran Surabaya,Taman Barunawati,Balai Kota Surabaya,Taman Barunawati,Balai Kota Surabaya,Balai Kota Surabaya
1031,Bandung,Kebun Binatang Bandung,Pesona Nirwana Waterpark & Cottages,Kebun Tanaman Obat Sari Alam,Monumen Perjuangan Rakyat Jawa Barat,Kyotoku Floating Market,Monumen Perjuangan Rakyat Jawa Barat,Kyotoku Floating Market,Kyotoku Floating Market
1032,Surabaya,Monumen Tugu Pahlawan,| Food Junction Grand Pakuwon,Taman Buah Surabaya,Pantai Ria Kenjeran,,Pantai Ria Kenjeran,,
1033,Semarang,Wisata Alam Wana Wisata Penggaron,Kampoeng Djadhoel Semarang,Semarang Gallery,,,,,
